year,team,final_points,is_champion,position
2021,Mercedes,613,1,1
2021,Red Bull Racing,585,0,2
2021,Ferrari,323,0,3
2021,McLaren,275,0,4
2021,Alpine,155,0,5
2021,AlphaTauri,142,0,6
2021,Aston Martin,77,0,7
2021,Williams,23,0,8
2021,Alfa Romeo,13,0,9
2021,Haas F1 Team,0,0,10
2022,Red Bull Racing,759,1,1
2022,Ferrari,554,0,2
2022,Mercedes,515,0,3
2022,Alpine,173,0,4
2022,McLaren,159,0,5
2022,Alfa Romeo,55,0,6
2022,Aston Martin,55,0,6
2022,Haas F1 Team,37,0,8
2022,AlphaTauri,35,0,9
2022,Williams,8,0,10
2023,Red Bull Racing,860,1,1
2023,Mercedes,409,0,2
2023,Ferrari,406,0,3
2023,McLaren,302,0,4
2023,Aston Martin,280,0,5
2023,Alpine,120,0,6
2023,Williams,28,0,7
2023,AlphaTauri,25,0,8
2023,Alfa Romeo,16,0,9
2023,Haas F1 Team,12,0,10
2024,McLaren,666,1,1
2024,Ferrari,652,0,2
2024,Red Bull Racing,589,0,3
2024,Mercedes,468,0,4
2024,Aston Martin,94,0,5
2024,Alpine,65,0,6
2024,Haas F1 Team,58,0,7
2024,RB,46,0,8
2024,Williams,17,0,9
2024,Alfa Romeo,4,0,10
